"Henrik Ibsens Vej 10, 1. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 10, 2. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 10, 3. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 10, 4. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 10B, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 6, st. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 6, 1. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 1. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 8B, 1813 Frederiksberg C"
"Henrik Ibsens Vej 8, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 8, st. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 8B, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 8, st. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 45, 4., 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 4., 1813 Frederiksberg C"
"Henrik Ibsens Vej 45, 4. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 45, 4. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 2, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 2, st. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 3., 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 2., 1813 Frederiksberg C"
"Henrik Ibsens Vej 41, 5., 1813 Frederiksberg C"
"Henrik Ibsens Vej 41, 1813 Frederiksberg C"
"Henrik Ibsens Vej 41, 5. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 41, 5. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 3. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 43, 3. th, 1813 Frederiksberg C"
