"Langkær 27G, 6100 Haderslev"
"Lembckesvej 41, 1. tv, 6100 Haderslev"
"Lindevej 6, st., 6100 Haderslev"
"Lyøvej 41, Starup, 6100 Haderslev"
"Moltrupvej 42, st. 8, 6100 Haderslev"
"Nederbyvænget 264, Aastrup, 6100 Haderslev"
"Ny Allegade 20, 2., 6100 Haderslev"
"Odinsvej 16, st., 6100 Haderslev"
"Raade Strandpark 54, 6100 Haderslev"
"Ribe Landevej 42, 6100 Haderslev"
"Rosenbakken 90, 6100 Haderslev"
"Rådmandsvej 11, 6100 Haderslev"
"Selbjerg 17, Hoptrup, 6100 Haderslev"
"Skovbrynet 8, 6100 Haderslev"
"Skovvænget 70, st. tv, 6100 Haderslev"
"Slotsgade 4A, st., 6100 Haderslev"
"Solbakken 14, 6100 Haderslev"
"Starup Højvænge 9A, Starup, 6100 Haderslev"
"Storegade 23, 1., 6100 Haderslev"
"Snabevej 22, st., Sverdrup, 6100 Haderslev"
"Sønderballe Strand 91, 6100 Haderslev"
"Søvang 29, Marstrup, 6100 Haderslev"
"Tjørnebakken 27, 6100 Haderslev"
"Tåsingevej 77, Starup, 6100 Haderslev"
"Varbergvej 67, st. tv, 6100 Haderslev"
"Ved Postgården 3, 3. 8, 6100 Haderslev"
"Vilstrup Bysving 9, 6100 Haderslev"
"Ægirsvej 19, 6100 Haderslev"
"Øsbygade 15, 6100 Haderslev"
"Kabdrupvej 44, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 34, Sandersvig, 6100 Haderslev"
"Sandersvig Skovvej 6, Sandersvig, 6100 Haderslev"
"Aabenraavej 84, 3. c, 6100 Haderslev"
"Aastrup Alle 35, 6100 Haderslev"
"Aastrupvej 65T, 6100 Haderslev"
"Bakkevej 15, 6100 Haderslev"
"Braineparken 21, st. th, 6100 Haderslev"
"Bræråvej 21, Hoptrup, 6100 Haderslev"
"Dalgade 2, 1. tv, 6100 Haderslev"
"Diernæs Strandby 65, 6100 Haderslev"
"Drosselvej 22, 6100 Haderslev"
"Erlevvej 53, 6100 Haderslev"
"Favrdalen 51, 6100 Haderslev"
"Fjordglimt 6, Starup, 6100 Haderslev"
"Frejas Have 7, 6100 Haderslev"
"Fårehave 3, st., Aastrup, 6100 Haderslev"
"Gravene 14B, 1. th, 6100 Haderslev"
"Grønningen 27, 6100 Haderslev"
"Hiort Lorenzens Vej 8B, st. tv, 6100 Haderslev"
"Hans Tausens Vej 3, 6100 Haderslev"
"Heimdalsvej 34, 6100 Haderslev"
"Hejsager Strandvej 217, 6100 Haderslev"
"Hjortebrovej 23D, 6100 Haderslev"
"Hjortebrovej 78, 6100 Haderslev"
"Hovslundvej 9, Hoptrup, 6100 Haderslev"
"Højgårdvej 8, 6100 Haderslev"
"Jomfrustien 14, st., 6100 Haderslev"
"Kanekærvej 1, Kelstrup, 6100 Haderslev"
"Kelstruphave 112, 6100 Haderslev"
"Klosteret 22A, 1., 6100 Haderslev"
"Kløvervej 188, 6100 Haderslev"
"Kroghs Kobbel 27, 6100 Haderslev"
"Langelandsvej 71, Starup, 6100 Haderslev"
"Laurids Skaus Gade 15, 6100 Haderslev"
"Lembckesvej 41, 2. th, 6100 Haderslev"
"Lindevej 6, 1., 6100 Haderslev"
"Lyøvej 42, Starup, 6100 Haderslev"
"Marstrup Kirkevej 77, 6100 Haderslev"
"Moltrupvej 42, st. 9, 6100 Haderslev"
"Nederbyvænget 266, Aastrup, 6100 Haderslev"
"Ny Allegade 21, st., 6100 Haderslev"
"Nørregade 12A, 1. th, 6100 Haderslev"
"Odinsvej 16, 1., 6100 Haderslev"
"Pamhulevej 96, Marstrup, 6100 Haderslev"
"Ribe Landevej 43A, 6100 Haderslev"
"Rosenbakken 91, 6100 Haderslev"
"Rådmandsvej 22, st. 1, 6100 Haderslev"
"Selbjerg 19, Hoptrup, 6100 Haderslev"
"Skovbrynet 9, 6100 Haderslev"
"Skovvænget 70, 1. th, 6100 Haderslev"
"Slotsgade 4A, 1., 6100 Haderslev"
"Solbakken 14A, 6100 Haderslev"
"Starup Højvænge 9B, Starup, 6100 Haderslev"
"Storegade 23, 2., 6100 Haderslev"
"Snabevej 22, 1., Sverdrup, 6100 Haderslev"
"Sønderballe Strand 93, 6100 Haderslev"
"Søvang 30, Marstrup, 6100 Haderslev"
"Tjørnebakken 28, 6100 Haderslev"
"Tåsingevej 79, Starup, 6100 Haderslev"
"Varbergvej 67, 1. mf, 6100 Haderslev"
"Ved Postgården 3, 3. 9, 6100 Haderslev"
"Vilstrup Bysving 10, 6100 Haderslev"
"Ægirsvej 20, 6100 Haderslev"
"Øsbygade 17, 6100 Haderslev"
"Kabdrupvej 45, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 36, Sandersvig, 6100 Haderslev"
"Skovbøllingvej 4, 6100 Haderslev"
"Aabenraavej 84, 3. d, 6100 Haderslev"
"Aarøsund Landevej 101A, 6100 Haderslev"
"Aastrup Alle 36, 6100 Haderslev"
"Aastrupvej 65U, 6100 Haderslev"
"Bakkevej 17, 6100 Haderslev"
"Blokhusskoven 1, Kelstrup Strand, 6100 Haderslev"
"Braineparken 21, st. tv, 6100 Haderslev"
"Dalgade 4, st. th, 6100 Haderslev"
"Diernæs Strandby 66, 6100 Haderslev"
"Drosselvej 23, 6100 Haderslev"
"Erlevvej 54, 6100 Haderslev"
"Favrdalen 53, 6100 Haderslev"
"Fjordglimt 7, Starup, 6100 Haderslev"
"Frejas Have 8, 6100 Haderslev"
"Fårehave 4, st., Aastrup, 6100 Haderslev"
"Gravene 14B, 1. tv, 6100 Haderslev"
"Grønningen 28, 6100 Haderslev"
"Hans Tausens Vej 4, 6100 Haderslev"
"Heimdalsvej 36, 6100 Haderslev"
"Hejsager Strandvej 218, 6100 Haderslev"
"Hjortebrovej 23E, 6100 Haderslev"
"Hjortebrovej 80, 6100 Haderslev"
"Hovslundvej 10, Hoptrup, 6100 Haderslev"
"Højgårdvej 9, 6100 Haderslev"
"Jomfrustien 14, 1., 6100 Haderslev"
"Kanekærvej 2, Kelstrup, 6100 Haderslev"
"Kelstruphave 115, 6100 Haderslev"
"Klosteret 23A, 6100 Haderslev"
"Kløvervej 190, 6100 Haderslev"
"Kroghs Kobbel 29, 6100 Haderslev"
"Langelandsvej 75, Starup, 6100 Haderslev"
"Laurids Skaus Gade 17, st. th, 6100 Haderslev"
"Lembckesvej 41, 2. tv, 6100 Haderslev"
"Lindevej 7, st., 6100 Haderslev"
"Lyøvej 43, Starup, 6100 Haderslev"
"Moltrupvej 42, 1. 21, 6100 Haderslev"
"Nederbyvænget 268, Aastrup, 6100 Haderslev"
"Ny Allegade 21, 1., 6100 Haderslev"
"Nørregade 12A, 1. tv, 6100 Haderslev"
"Odinsvej 16, 2., 6100 Haderslev"
"Raade Strandpark 58, 6100 Haderslev"
"Ribe Landevej 43B, 6100 Haderslev"
"Rosenbakken 92, 6100 Haderslev"
"Rådmandsvej 22, st. 2, 6100 Haderslev"
"Selbjerg 20, Hoptrup, 6100 Haderslev"
"Skallebækvej 23, 6100 Haderslev"
"Skovbrynet 10, 6100 Haderslev"
"Skovvænget 70, 1. tv, 6100 Haderslev"
"Slotsgade 4A, 2., 6100 Haderslev"
"Solbakken 15, 6100 Haderslev"
"Starup Højvænge 10, Starup, 6100 Haderslev"
"Storegade 24, 6100 Haderslev"
"Sverigesvej 1A, 6100 Haderslev"
"Søvang 31, Marstrup, 6100 Haderslev"
"Thrigesvej 14, st. th, 6100 Haderslev"
"Tjørnebakken 29, 6100 Haderslev"
"Tåsingevej 81, Starup, 6100 Haderslev"
"Varbergvej 67, 1. th, 6100 Haderslev"
"Venbjerg 2, Diernæs, 6100 Haderslev"
"Vilstrup Bysving 11, 6100 Haderslev"
"Ærøvej 2, Starup, 6100 Haderslev"
"Øsbygade 19, 6100 Haderslev"
"Holmevej 3, Skovbølling, 6100 Haderslev"
"Kabdrupvej 47, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 38, Sandersvig, 6100 Haderslev"
"Skovbøllingvej 5, 6100 Haderslev"
"Erlevvej 55, 6100 Haderslev"
"Aabenraavej 84, 3. e, 6100 Haderslev"
"Aarøsund Landevej 101B, 6100 Haderslev"
"Aastrup Alle 41, 6100 Haderslev"
"Aastrupvej 65V, 6100 Haderslev"
"Baldersvej 2, 6100 Haderslev"
"Blokhusskoven 52, Kelstrup Strand, 6100 Haderslev"
"Braineparken 21, 1. th, 6100 Haderslev"
"Bredgade 7A, kl., 6100 Haderslev"
"Dalgade 4, st. tv, 6100 Haderslev"
"Diernæs Strandby 67, 6100 Haderslev"
"Drosselvej 24, 6100 Haderslev"
"Favrdalen 55, 6100 Haderslev"
"Fjordglimt 9, Starup, 6100 Haderslev"
"Frejas Have 9, 6100 Haderslev"
"Fårehave 5, 1., Aastrup, 6100 Haderslev"
"Gravene 14B, 2. mf, 6100 Haderslev"
"Grønningen 29A, 6100 Haderslev"
"Hans Tausens Vej 5, 6100 Haderslev"
"Hejsager Strandvej 219, 6100 Haderslev"
"Hjortebrovej 24, st. th, 6100 Haderslev"
"Hjortebrovej 82, 6100 Haderslev"
"Hovslundvej 11, Hoptrup, 6100 Haderslev"
"Højgårdvej 13, 6100 Haderslev"
"Jomfrustien 14, 2., 6100 Haderslev"
"Kanekærvej 4, Kelstrup, 6100 Haderslev"
"Kelstrupvej 1, 6100 Haderslev"
"Klosteret 23B, 6100 Haderslev"
"Kløvervej 192, 6100 Haderslev"
"Kroghs Kobbel 31, 6100 Haderslev"
"Langelandsvej 77, Starup, 6100 Haderslev"
"Laurids Skaus Gade 17, st. tv, 6100 Haderslev"
"Lembckesvej 41, 3. th, 6100 Haderslev"
"Lindevej 7, 1., 6100 Haderslev"
"Lyøvej 44, Starup, 6100 Haderslev"
"Marstrup Kirkevej 79, 6100 Haderslev"
"Moltrupvej 42, 1. 22, 6100 Haderslev"
"Nederbyvænget 270, Aastrup, 6100 Haderslev"
"Ny Allegade 22, st., 6100 Haderslev"
"Nørregade 12A, 2. th, 6100 Haderslev"
"Odinsvej 17, 6100 Haderslev"
"Pamhulevej 100, Marstrup, 6100 Haderslev"
"Raade Strandpark 60, 6100 Haderslev"
"Ribe Landevej 44, 6100 Haderslev"
"Rosenbakken 93, 6100 Haderslev"
"Rådmandsvej 22, st. 3, 6100 Haderslev"
"Selbjerg 21, Hoptrup, 6100 Haderslev"
"Skallebækvej 25, 6100 Haderslev"
"Skovbrynet 11, 6100 Haderslev"
"Skovvænget 70, 2. th, 6100 Haderslev"
"Slotsgade 4, st. th, 6100 Haderslev"
"Solbakken 16, 6100 Haderslev"
"Starup Højvænge 11, Starup, 6100 Haderslev"
"Storegade 24A, 1. th, 6100 Haderslev"
"Sverigesvej 2B, 6100 Haderslev"
"Sønderballe Strand 96, 6100 Haderslev"
"Søvang 32, Marstrup, 6100 Haderslev"
"Thrigesvej 14, st. tv, 6100 Haderslev"
"Tjørnebakken 30, 6100 Haderslev"
"Tåsingevej 83, Starup, 6100 Haderslev"
"Varbergvej 67, 1. tv, 6100 Haderslev"
"Venbjerg 4, Diernæs, 6100 Haderslev"
"Vilstrup Bysving 12, 6100 Haderslev"
"Ærøvej 4, Starup, 6100 Haderslev"
"Øsbygade 23, 6100 Haderslev"
"Kabdrupvej 49, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 40, Sandersvig, 6100 Haderslev"
"Skovbøllingvej 7, 6100 Haderslev"
"Aabenraavej 84, 3. f, 6100 Haderslev"
"Aarøsund Landevej 102, 6100 Haderslev"
"Aastrupvej 65X, 6100 Haderslev"
"Baldersvej 4, 6100 Haderslev"
"Blokhusskoven 53, Kelstrup Strand, 6100 Haderslev"
"Braineparken 21, 1. tv, 6100 Haderslev"
"Bredgade 7A, 1. mf, 6100 Haderslev"
"Dalgade 4, 1. mf, 6100 Haderslev"
"Diernæs Strandby 68, 6100 Haderslev"
"Drosselvej 25, 6100 Haderslev"
"Erlevvej 56, 6100 Haderslev"
"Favrdalen 57, 6100 Haderslev"
"Fjordglimt 13, Starup, 6100 Haderslev"
"Frejas Have 10, 6100 Haderslev"
"Fårehave 6, 1., Aastrup, 6100 Haderslev"
"Gravene 14B, 2. th, 6100 Haderslev"
"Grønningen 30A, 6100 Haderslev"
"Hans Tausens Vej 6, 6100 Haderslev"
"Hejsager Strandvej 220, 6100 Haderslev"
"Hjortebrovej 24, st. tv, 6100 Haderslev"
"Hjortebrovej 84, 6100 Haderslev"
"Hovslundvej 13, Hoptrup, 6100 Haderslev"
"Jomfrustien 16A, st., 6100 Haderslev"
"Kanekærvej 6, Kelstrup, 6100 Haderslev"
"Kelstrupvej 31, 6100 Haderslev"
"Klosteret 23C, 6100 Haderslev"
"Kløvervej 194, 6100 Haderslev"
"Kroghs Kobbel 33, 6100 Haderslev"
"Laurids Skaus Gade 17, 1. th, 6100 Haderslev"
"Lembckesvej 41, 3. tv, 6100 Haderslev"
"Lindevej 7, 2., 6100 Haderslev"
"Lyøvej 45, Starup, 6100 Haderslev"
"Moltrupvej 42, 1. 23, 6100 Haderslev"
"Nederbyvænget 272, Aastrup, 6100 Haderslev"
"Ny Allegade 22, 1., 6100 Haderslev"
"Nørregade 12A, 2. tv, 6100 Haderslev"
"Odinsvej 18, 6100 Haderslev"
"Pamhulevej 110, Marstrup, 6100 Haderslev"
"Raade Strandpark 62, 6100 Haderslev"
"Ribe Landevej 45, 6100 Haderslev"
"Rosenbakken 94, 6100 Haderslev"
"Rådmandsvej 22, st. 4, 6100 Haderslev"
"Selbjerg 22, Hoptrup, 6100 Haderslev"
"Skovbrynet 12, 6100 Haderslev"
"Skovvænget 70, 2. tv, 6100 Haderslev"
"Slotsgade 4, st. tv, 6100 Haderslev"
"Solbakken 17, 6100 Haderslev"
"Starup Højvænge 12, Starup, 6100 Haderslev"
"Storegade 24A, 1. tv, 6100 Haderslev"
"Sverigesvej 2C, 6100 Haderslev"
"Sønderballe Strand 97, 6100 Haderslev"
"Søvang 33, Marstrup, 6100 Haderslev"
"Thrigesvej 14, 1. th, 6100 Haderslev"
"Tjørnebakken 31, 6100 Haderslev"
"Tåsingevej 85, Starup, 6100 Haderslev"
"Varbergvej 67, 2. mf, 6100 Haderslev"
"Venbjerg 30, Diernæs, 6100 Haderslev"
"Ærøvej 6, Starup, 6100 Haderslev"
"Øsbygade 27, 6100 Haderslev"
"Havsagergyde 17, Anslet, 6100 Haderslev"
"Kabdrupvej 50, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 42, Sandersvig, 6100 Haderslev"
"Skovbøllingvej 8, 6100 Haderslev"
"Søvej 2, Sandersvig, 6100 Haderslev"
"Aabenraavej 84, 3. g, 6100 Haderslev"
"Aarøsund Landevej 103, 6100 Haderslev"
"Aastrup Alle 43, 6100 Haderslev"
"Aastrupvej 65Y, 6100 Haderslev"
"Baldersvej 11, 6100 Haderslev"
"Blokhusskoven 54, Kelstrup Strand, 6100 Haderslev"
"Braineparken 21, 2. th, 6100 Haderslev"
"Bredgade 7A, 1. th, 6100 Haderslev"
"Dalgade 4, 1. th, 6100 Haderslev"
"Diernæs Strandby 69, 6100 Haderslev"
"Drosselvej 26, 6100 Haderslev"
"Erlevvej 57, 6100 Haderslev"
"Favrdalen 59, 6100 Haderslev"
"Fjordglimt 15, Starup, 6100 Haderslev"
"Frejas Have 11, 6100 Haderslev"
"Fårehave 7, 1., Aastrup, 6100 Haderslev"
"Gravene 14B, 2. tv, 6100 Haderslev"
"Grønningen 30, st., 6100 Haderslev"
"Hejsager Næsvej 106, 6100 Haderslev"
"Hejsager Strandvej 221, 6100 Haderslev"
"Hjortebrovej 24, 1. th, 6100 Haderslev"
"Hjortebrovej 86, 6100 Haderslev"
"Hovslundvej 15, Hoptrup, 6100 Haderslev"
"Jomfrustien 16, 1., 6100 Haderslev"
"Kanekærvej 8, Kelstrup, 6100 Haderslev"
"Klosteret 23D, 6100 Haderslev"
"Kroghs Kobbel 35, 6100 Haderslev"
"Langelandsvej 79, Starup, 6100 Haderslev"
"Laurids Skaus Gade 17, 1. tv, 6100 Haderslev"
"Lembckesvej 42, 6100 Haderslev"
"Lindevej 8, st., 6100 Haderslev"
"Lyøvej 46, Starup, 6100 Haderslev"
"Marstrup Kirkevej 81, 6100 Haderslev"
"Moltrupvej 42, 1. 24, 6100 Haderslev"
"Nederbyvænget 274, Aastrup, 6100 Haderslev"
"Ny Allegade 22, 2., 6100 Haderslev"
"Nørregade 12A, 3., 6100 Haderslev"
"Odinsvej 19, 6100 Haderslev"
"Parkvej 1, 6100 Haderslev"
"Raade Strandpark 64, 6100 Haderslev"
"Ribe Landevej 46, 6100 Haderslev"
"Rosenbakken 95, 6100 Haderslev"
"Rådmandsvej 22, st. 5, 6100 Haderslev"
"Selbjerg 24, Hoptrup, 6100 Haderslev"
"Skovbrynet 13, 6100 Haderslev"
"Skovvænget 72, st. th, 6100 Haderslev"
"Slotsgade 4, 1. th, 6100 Haderslev"
"Solbakken 18, st., 6100 Haderslev"
"Starup Højvænge 13, Starup, 6100 Haderslev"
"Storegade 24A, 2., 6100 Haderslev"
"Sverigesvej 2D, 6100 Haderslev"
"Sønderballe Strand 99, 6100 Haderslev"
"Søvang 34, Marstrup, 6100 Haderslev"
"Thrigesvej 14, 1. tv, 6100 Haderslev"
"Tjørnebakken 32, 6100 Haderslev"
"Tåsingevej 87, Starup, 6100 Haderslev"
"Varbergvej 67, 2. th, 6100 Haderslev"
"Venbjerg 33, Diernæs, 6100 Haderslev"
"Ærøvej 8, Starup, 6100 Haderslev"
"Øsbygade 31, 6100 Haderslev"
"Havsagergyde 18, Anslet, 6100 Haderslev"
"Holtevej 12, Bjerning, 6100 Haderslev"
"Kabdrupvej 52, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 44, Sandersvig, 6100 Haderslev"
"Skovbøllingvej 9, 6100 Haderslev"
"Søvej 3, Sandersvig, 6100 Haderslev"
"Hejsager Strandvej 222, 6100 Haderslev"
"Aabenraavej 84, 3. h, 6100 Haderslev"
"Aarøsund Landevej 104, 6100 Haderslev"
"Aastrup Alle 44, 6100 Haderslev"
"Aastrupvej 65Z, 6100 Haderslev"
"Baldersvej 13, 6100 Haderslev"
"Blokhusskoven 55, Kelstrup Strand, 6100 Haderslev"
"Braineparken 21, 2. tv, 6100 Haderslev"
"Bredgade 7A, 1. tv, 6100 Haderslev"
"Dalgade 4, 1. tv, 6100 Haderslev"
"Diernæs Strandby 70, 6100 Haderslev"
"Drosselvej 27, 6100 Haderslev"
"Erlevvej 58, 6100 Haderslev"
"Favrdalen 61, 6100 Haderslev"
"Fjordglimt 17, Starup, 6100 Haderslev"
"Frejas Have 12, 6100 Haderslev"
"Fårehave 8, 1., Aastrup, 6100 Haderslev"
"Gravene 14D, st. th, 6100 Haderslev"
"Grønningen 30, 1., 6100 Haderslev"
"Hiort Lorenzens Vej 8E, 1. th, 6100 Haderslev"
"Hans Tausens Vej 8, 6100 Haderslev"
"Hejsager Næsvej 115, 6100 Haderslev"
"Hjortebrovej 24, 1. tv, 6100 Haderslev"
"Hjortebrovej 88, 6100 Haderslev"
"Hovslundvej 17, Hoptrup, 6100 Haderslev"
"Højgårdvej 19, 6100 Haderslev"
"Jomfrustien 16, 2., 6100 Haderslev"
"Kanekærvej 10, Kelstrup, 6100 Haderslev"
"Kelstrupvej 34, 6100 Haderslev"
"Klosteret 23E, 6100 Haderslev"
"Kløvervej 198, 6100 Haderslev"
"Kroghs Kobbel 37, 6100 Haderslev"
"Langelandsvej 81, Starup, 6100 Haderslev"
"Laurids Skaus Gade 20, 6100 Haderslev"
"Lembckesvej 43, st. th, 6100 Haderslev"
"Lindevej 8, 1., 6100 Haderslev"
"Lyøvej 47, Starup, 6100 Haderslev"
"Moltrupvej 42, 1. 25, 6100 Haderslev"
"Nederbyvænget 276, Aastrup, 6100 Haderslev"
"Ny Allegade 24, st. mf, 6100 Haderslev"
"Nørregade 12B, st., 6100 Haderslev"
"Odinsvej 20, 6100 Haderslev"
"Parkvej 2, 6100 Haderslev"
"Ribe Landevej 48, 6100 Haderslev"
"Rosenbakken 97, 6100 Haderslev"
"Rådmandsvej 22, st. 6, 6100 Haderslev"
"Selbjerg 26, Hoptrup, 6100 Haderslev"
"Skallebækvej 31, 6100 Haderslev"
"Skovbrynet 14, 6100 Haderslev"
"Slotsgade 4, 1. tv, 6100 Haderslev"
"Solbakken 18, 1., 6100 Haderslev"
"Starup Højvænge 14, Starup, 6100 Haderslev"
"Storegade 24B, 6100 Haderslev"
"Sverigesvej 2E, 6100 Haderslev"
"Sønderballe Strand 102, 6100 Haderslev"
"Søvang 35, Marstrup, 6100 Haderslev"
"Thrigesvej 14, 2. th, 6100 Haderslev"
"Tjørnebakken 33, 6100 Haderslev"
"Tåsingevej 89, Starup, 6100 Haderslev"
"Varbergvej 67, 2. tv, 6100 Haderslev"
"Venbjerg 40, Diernæs, 6100 Haderslev"
"Vilstrup Bysving 18, 6100 Haderslev"
"Ærøvej 10, Starup, 6100 Haderslev"
"Øsbygade 36, 6100 Haderslev"
"Havsagergyde 20, Anslet, 6100 Haderslev"
"Holtevej 14, Bjerning, 6100 Haderslev"
"Kabdrupvej 55, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 48, Sandersvig, 6100 Haderslev"
"Søvej 4, Sandersvig, 6100 Haderslev"
"Aabenraavej 84, 4. a, 6100 Haderslev"
"Aarøsund Landevej 110, 6100 Haderslev"
"Aastrup Alle 46, 6100 Haderslev"
"Baldersvej 15, 6100 Haderslev"
"Blokhusskoven 56, Kelstrup Strand, 6100 Haderslev"
"Braineparken 22, st. th, 6100 Haderslev"
"Bredgade 7A, 2. mf, 6100 Haderslev"
"Diernæs Strandby 71, 6100 Haderslev"
"Drosselvej 28, 6100 Haderslev"
"Erlevvej 59, 6100 Haderslev"
"Favrdalen 63, 6100 Haderslev"
"Fjordglimt 19, Starup, 6100 Haderslev"
"Frejas Have 13, 6100 Haderslev"
"Fårehave 9, 2., Aastrup, 6100 Haderslev"
"Gravene 14D, st. tv, 6100 Haderslev"
"Grønningen 31, 6100 Haderslev"
"Hiort Lorenzens Vej 8E, 1. tv, 6100 Haderslev"
"Hejsager Næsvej 119, 6100 Haderslev"
"Hejsager Strandvej 223, 6100 Haderslev"
"Hjortebrovej 24, 2. th, 6100 Haderslev"
"Hjortebrovej 90, 6100 Haderslev"
"Hovslundvej 19, Hoptrup, 6100 Haderslev"
"Højgårdvej 21, 6100 Haderslev"
"Jomfrustien 16, 3., 6100 Haderslev"
"Kelstrup Skovvej 32, 6100 Haderslev"
"Kelstrupvej 36, 6100 Haderslev"
"Klosteret 23F, 6100 Haderslev"
"Kløvervej 200, 6100 Haderslev"
"Kroghs Kobbel 39, 6100 Haderslev"
"Langelandsvej 83, Starup, 6100 Haderslev"
"Laurids Skaus Gade 20A, 6100 Haderslev"
"Lembckesvej 43, st. tv, 6100 Haderslev"
"Lindevej 9, 6100 Haderslev"
"Lyøvej 48, Starup, 6100 Haderslev"
"Moltrupvej 42, 1. 26, 6100 Haderslev"
"Nederbyvænget 278, Aastrup, 6100 Haderslev"
"Ny Allegade 24, st. th, 6100 Haderslev"
"Nørregade 12B, 1., 6100 Haderslev"
"Odinsvej 21, 6100 Haderslev"
"Parkvej 3, 6100 Haderslev"
"Raade Strandpark 68, 6100 Haderslev"
"Ribe Landevej 50, 6100 Haderslev"
"Rosenbakken 99, 6100 Haderslev"
"Rådmandsvej 22, st. 7, 6100 Haderslev"
"Selbjerg 28, Hoptrup, 6100 Haderslev"
"Skallebækvej 33, 6100 Haderslev"
"Skovbrynet 15, 6100 Haderslev"
"Skovvænget 72, 1. th, 6100 Haderslev"
"Slotsgade 4, 2., 6100 Haderslev"
"Solbakken 19, 6100 Haderslev"
"Starup Højvænge 15, Starup, 6100 Haderslev"
"Storegade 24, st., 6100 Haderslev"
"Sverigesvej 2F, 6100 Haderslev"
"Sønderballe Strand 103, 6100 Haderslev"
"Søvang 36, Marstrup, 6100 Haderslev"
"Thrigesvej 14, 2. tv, 6100 Haderslev"
"Tjørnebakken 34, 6100 Haderslev"
"Tåsingevej 91, Starup, 6100 Haderslev"
"Varbergvej 67, 3. mf, 6100 Haderslev"
"Venbjerg 46, Diernæs, 6100 Haderslev"
"Vilstrup Bysving 19, 6100 Haderslev"
"Ærøvej 11, Starup, 6100 Haderslev"
"Øsbygade 37, 6100 Haderslev"
"Bøndergårdene 30, 6100 Haderslev"
"Bøndergårdene 32, 6100 Haderslev"
"Bøndergårdene 34A, 6100 Haderslev"
"Havsagergyde 22, Anslet, 6100 Haderslev"
"Holtevej 16, Bjerning, 6100 Haderslev"
"Kabdrupvej 57, Bjerning, 6100 Haderslev"
"Sandersvig Strandvej 50, Sandersvig, 6100 Haderslev"
"Skovbøllingvej 15, 6100 Haderslev"
"Søvej 5, Sandersvig, 6100 Haderslev"
"Aabenraavej 84, 4. b, 6100 Haderslev"
"Aastrup Alle 47, 6100 Haderslev"
"Allegade 13, st. tv, 6100 Haderslev"
"Baldersvej 19, 6100 Haderslev"
"Blokhusskoven 57, Kelstrup Strand, 6100 Haderslev"
"Braineparken 22, st. tv, 6100 Haderslev"
"Bredgade 7A, 2. th, 6100 Haderslev"
"Dalgade 6B, 6100 Haderslev"
"Diernæs Strandby 72, 6100 Haderslev"
"Drosselvej 29, 6100 Haderslev"
"Erlevvej 60, 6100 Haderslev"
"Favrdalen 65, 6100 Haderslev"
"Fjordglimt 21, Starup, 6100 Haderslev"
"Frejas Have 14, 6100 Haderslev"
"Fårehave 10, 2., Aastrup, 6100 Haderslev"
"Gravene 14D, 1. th, 6100 Haderslev"
"Grønningen 32, st. th, 6100 Haderslev"
"Hans Tausens Vej 10, 6100 Haderslev"
"Hejsager Næsvej 121, 6100 Haderslev"
"Hejsager Strandvej 224, 6100 Haderslev"
"Hjortebrovej 24, 2. tv, 6100 Haderslev"
"Hjortebrovej 92, 6100 Haderslev"
"Hovslundvej 21, Hoptrup, 6100 Haderslev"
"Jomfrustien 18A, st., 6100 Haderslev"
"Kanekærvej 12, Kelstrup, 6100 Haderslev"
"Kelstrupvej 42, 6100 Haderslev"
"Bøndergårdene 26A, 6100 Haderslev"
"Klosteret 23G, 6100 Haderslev"
"Kløvervej 202, 6100 Haderslev"
"Kroghs Kobbel 41, 6100 Haderslev"
"Langelandsvej 108, Starup, 6100 Haderslev"
"Laurids Skaus Gade 20B, 6100 Haderslev"
"Lembckesvej 43, 1. th, 6100 Haderslev"
"Lindevej 10, st., 6100 Haderslev"
"Lyøvej 49, Starup, 6100 Haderslev"
"Marstrup Kirkevej 83A, 6100 Haderslev"
"Moltrupvej 42, 1. 27, 6100 Haderslev"
"Nederbyvænget 280, Aastrup, 6100 Haderslev"
"Ny Allegade 24, st. tv, 6100 Haderslev"
"Nørregade 12B, 2. th, 6100 Haderslev"
"Odinsvej 22, 6100 Haderslev"
"Parkvej 4, 6100 Haderslev"
"Raade Strandpark 70, 6100 Haderslev"
"Ribe Landevej 52, 6100 Haderslev"
"Rosenbakken 101, 6100 Haderslev"
"Rådmandsvej 22, st. 8, 6100 Haderslev"
"Selbjerg 30, Hoptrup, 6100 Haderslev"
"Skovbrynet 16, 6100 Haderslev"
"Skovvænget 72, 1. tv, 6100 Haderslev"
"Slotsgade 5, 6100 Haderslev"
"Solbakken 20, 6100 Haderslev"
"Starup Højvænge 16, Starup, 6100 Haderslev"
"Storegade 24, 1., 6100 Haderslev"
"Sverigesvej 3, 6100 Haderslev"
"Sønderballe Strand 105, 6100 Haderslev"
"Søvang 37, Marstrup, 6100 Haderslev"
"Thrigesvej 15, 6100 Haderslev"
"Tjørnebakken 35, 6100 Haderslev"
"Tåsingevej 93, Starup, 6100 Haderslev"
