"Søndre Fasanvej 2A, st. 15, 2000 Frederiksberg"
"Søndre Fasanvej 2A, st. 14, 2000 Frederiksberg"
"Søndre Fasanvej 2A, st. 13, 2000 Frederiksberg"
"Søndre Fasanvej 2A, st. 12, 2000 Frederiksberg"
"Søndre Fasanvej 2A, st. 10, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 4. 417, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 4. 416, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 4. 415, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 321, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 319, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 313, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 315, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 317, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 316, 2000 Frederiksberg"
"Søndre Fasanvej 2A, 3. 311, 2000 Frederiksberg"
"Howitzvej 65, 4., 2000 Frederiksberg"
"Howitzvej 65, 3., 2000 Frederiksberg"
"Mariendalsvej 22B, st. 10, 2000 Frederiksberg"
"Mariendalsvej 22B, st. 11, 2000 Frederiksberg"
"Mariendalsvej 22B, st. 12, 2000 Frederiksberg"
"Mariendalsvej 52H, 2., 2000 Frederiksberg"
"Pile Alle 53A, 2000 Frederiksberg"
"Pile Alle 55, st., 2000 Frederiksberg"
"Pile Alle 55A, 2000 Frederiksberg"
"Pile Alle 55B, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 201, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 203, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 202, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 204, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 206, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 208, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 210, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 219, 2000 Frederiksberg"
"Solbjerg Have 7, 1. 218, 2000 Frederiksberg"
