"Frederiksberggade 2, st. 5, 1459 København K"
"Frederiksberggade 2, st. 6, 1459 København K"
"Frederiksberggade 2, 1., 1459 København K"
"Frederiksberggade 2, 2., 1459 København K"
"Frederiksberggade 2, 3., 1459 København K"
"Frederiksberggade 2, 4. th, 1459 København K"
"Frederiksberggade 2, 4. tv, 1459 København K"
"Frederiksberggade 2, 5. th, 1459 København K"
"Frederiksberggade 2, 5. tv, 1459 København K"
"Frederiksberggade 2, 1459 København K"
"Frederiksberggade 38, 1., 1459 København K"
"Frederiksberggade 23A, st., 1459 København K"
"Frederiksberggade 23, st. tv, 1459 København K"
"Frederiksberggade 23, st. th, 1459 København K"
"Frederiksberggade 23A, 1459 København K"
"Frederiksberggade 23, 2., 1459 København K"
"Frederiksberggade 23, 3., 1459 København K"
"Frederiksberggade 23, 3. tv, 1459 København K"
"Frederiksberggade 23, 3. th, 1459 København K"
"Frederiksberggade 23, 1459 København K"
"Frederiksberggade 23, st., 1459 København K"
"Frederiksberggade 11, st., 1459 København K"
"Frederiksberggade 11A, 1459 København K"
"Frederiksberggade 11A, 2., 1459 København K"
"Frederiksberggade 11, 1459 København K"
"Frederiksberggade 11A, 1., 1459 København K"
"Frederiksberggade 27, 3., 1459 København K"
"Frederiksberggade 14A, 1459 København K"
"Frederiksberggade 21, st. 1, 1459 København K"
"Frederiksberggade 21, st. 2, 1459 København K"
"Frederiksberggade 21, st. 3, 1459 København K"
"Frederiksberggade 16, 1., 1459 København K"
"Frederiksberggade 21, 1., 1459 København K"
"Frederiksberggade 21, 2. th, 1459 København K"
"Frederiksberggade 11, 2., 1459 København K"
"Frederiksberggade 24, kl., 1459 København K"
"Frederiksberggade 12, st., 1459 København K"
"Frederiksberggade 12, 2., 1459 København K"
"Frederiksberggade 12, 2. tv, 1459 København K"
"Frederiksberggade 12, 3. th, 1459 København K"
"Frederiksberggade 12, 3., 1459 København K"
"Frederiksberggade 12A, st., 1459 København K"
"Frederiksberggade 12, 3. tv, 1459 København K"
"Frederiksberggade 12A, 2., 1459 København K"
"Frederiksberggade 17A, 1., 1459 København K"
"Frederiksberggade 24A, 1459 København K"
"Frederiksberggade 24A, kl., 1459 København K"
"Frederiksberggade 24A, st., 1459 København K"
"Frederiksberggade 15, 2. tv, 1459 København K"
"Frederiksberggade 15, 3. tv, 1459 København K"
"Frederiksberggade 14, kl., 1459 København K"
"Frederiksberggade 17, st., 1459 København K"
"Frederiksberggade 17, 1., 1459 København K"
"Frederiksberggade 17, 2., 1459 København K"
"Frederiksberggade 10, 1. th, 1459 København K"
"Frederiksberggade 10, 1. tv, 1459 København K"
"Frederiksberggade 10, 2. th, 1459 København K"
"Frederiksberggade 10, 2. tv, 1459 København K"
"Frederiksberggade 10, 4. th, 1459 København K"
"Frederiksberggade 10, 4. tv, 1459 København K"
"Frederiksberggade 2, st., 1459 København K"
"Frederiksberggade 4, 1459 København K"
"Frederiksberggade 4, kl., 1459 København K"
"Frederiksberggade 4, 2., 1459 København K"
"Frederiksberggade 4, 3., 1459 København K"
"Frederiksberggade 4, 4., 1459 København K"
"Frederiksberggade 4, 5., 1459 København K"
