"Saxogade 45, 3. tv, 1662 København V"
"Saxogade 105, 3. 2, 1662 København V"
"Saxogade 45, 4. mf, 1662 København V"
"Saxogade 105, 3. 3, 1662 København V"
"Saxogade 45, 4. tv, 1662 København V"
"Saxogade 105, 3. 4, 1662 København V"
"Saxogade 52, st. tv, 1662 København V"
"Saxogade 105, 4. mf, 1662 København V"
"Saxogade 52, 1. th, 1662 København V"
"Saxogade 105, 4. th, 1662 København V"
"Saxogade 52, 1. tv, 1662 København V"
"Saxogade 105, 4. tv, 1662 København V"
"Saxogade 52, 2. th, 1662 København V"
"Saxogade 106, 1. 62, 1662 København V"
"Saxogade 52, 2. tv, 1662 København V"
"Saxogade 106, 1. 63, 1662 København V"
"Saxogade 52, 3. th, 1662 København V"
"Saxogade 106, 1. 64, 1662 København V"
"Saxogade 52, 3. tv, 1662 København V"
"Saxogade 106, 2. 65, 1662 København V"
"Saxogade 54, st. th, 1662 København V"
"Saxogade 106, 2. 66, 1662 København V"
"Saxogade 54, st. tv, 1662 København V"
"Saxogade 106, 2. 67, 1662 København V"
"Saxogade 54, 1. th, 1662 København V"
"Saxogade 106, 3. 68, 1662 København V"
"Saxogade 54, 1. tv, 1662 København V"
"Saxogade 106, 3. 69, 1662 København V"
"Saxogade 54, 2. th, 1662 København V"
"Saxogade 106, 3. 70, 1662 København V"
"Saxogade 54, 2. tv, 1662 København V"
"Saxogade 106, 4. 71, 1662 København V"
"Saxogade 54, 3. th, 1662 København V"
"Saxogade 106, 4. 72, 1662 København V"
"Saxogade 54, 3. tv, 1662 København V"
"Saxogade 106, 4. 73, 1662 København V"
"Saxogade 56, st. th, 1662 København V"
"Saxogade 107, st. 1, 1662 København V"
"Saxogade 56, st. tv, 1662 København V"
"Saxogade 107, st. 2, 1662 København V"
"Saxogade 56, 1. th, 1662 København V"
"Saxogade 107, st. 3, 1662 København V"
"Saxogade 56, 1. tv, 1662 København V"
"Saxogade 107, st. 4, 1662 København V"
"Saxogade 56, 2. th, 1662 København V"
"Saxogade 107, 1. 1, 1662 København V"
"Saxogade 56, 2. tv, 1662 København V"
"Saxogade 107, 1. 2, 1662 København V"
"Saxogade 88, 3. th, 1662 København V"
"Saxogade 13, st., 1662 København V"
"Saxogade 109, st. th, 1662 København V"
"Saxogade 67, 1. 17, 1662 København V"
"Saxogade 65, 3. 11, 1662 København V"
"Saxogade 17, 1662 København V"
"Saxogade 67, 2. 20, 1662 København V"
"Saxogade 67, 3. 25, 1662 København V"
"Saxogade 65, 1. 3, 1662 København V"
"Saxogade 67, 4. 27, 1662 København V"
"Saxogade 104A, 1662 København V"
"Saxogade 67, 3. 26, 1662 København V"
"Saxogade 52, 1662 København V"
"Saxogade 67, 2. 22, 1662 København V"
"Saxogade 9, 1662 København V"
"Saxogade 65, 1. 2, 1662 København V"
"Saxogade 86, 5., 1662 København V"
"Saxogade 110, 1662 København V"
"Saxogade 73, 1662 København V"
"Saxogade 67, 4. 28, 1662 København V"
"Saxogade 65, 2. 6, 1662 København V"
"Saxogade 15, 1662 København V"
"Saxogade 67, 1. 18, 1662 København V"
"Saxogade 67, 2. 19, 1662 København V"
"Saxogade 1, 1662 København V"
"Saxogade 86, 1662 København V"
"Saxogade 65, 2. 7, 1662 København V"
"Saxogade 67, 3. 23, 1662 København V"
"Saxogade 67, 1. 15, 1662 København V"
"Saxogade 109, st. tv, 1662 København V"
"Saxogade 104B, 1662 København V"
"Saxogade 65, 1662 København V"
"Saxogade 67, 2. 21, 1662 København V"
"Saxogade 65, 3., 1662 København V"
"Saxogade 6, 2. 4, 1662 København V"
"Saxogade 43, 1662 København V"
"Saxogade 65, 3. 10, 1662 København V"
"Saxogade 83, 1662 København V"
"Saxogade 65, 1. 4, 1662 København V"
"Saxogade 105, st. tv, 1662 København V"
"Saxogade 65, 3. 12, 1662 København V"
"Saxogade 67, 1. 16, 1662 København V"
"Saxogade 105, st. th, 1662 København V"
"Saxogade 65, 4. 14, 1662 København V"
"Saxogade 65, 4. 13, 1662 København V"
"Saxogade 10, 1662 København V"
"Saxogade 65, 1. 1, 1662 København V"
"Saxogade 65, 3. 9, 1662 København V"
"Saxogade 77, 1662 København V"
"Saxogade 65, 2. 5, 1662 København V"
"Saxogade 94, 1662 København V"
"Saxogade 65, 2. 8, 1662 København V"
"Saxogade 13, 1., 1662 København V"
"Saxogade 111, 1662 København V"
"Saxogade 13, 1662 København V"
"Saxogade 67, 3. 24, 1662 København V"
"Saxogade 14, 1662 København V"
"Saxogade 90, 1., 1662 København V"
"Saxogade 8A, 4., 1662 København V"
"Saxogade 8, 2. tv, 1662 København V"
"Saxogade 25, st. tv, 1662 København V"
"Saxogade 22, 1662 København V"
"Saxogade 3, 1662 København V"
"Saxogade 63, 1662 København V"
"Saxogade 11, 1662 København V"
"Saxogade 61, 1. 101, 1662 København V"
"Saxogade 61, 1. 102, 1662 København V"
"Saxogade 61, 1. 103, 1662 København V"
"Saxogade 61, 1. 104, 1662 København V"
"Saxogade 61, 1. 105, 1662 København V"
"Saxogade 61, 1. 106, 1662 København V"
"Saxogade 61, 1. 107, 1662 København V"
"Saxogade 61, 1. 108, 1662 København V"
"Saxogade 61, 1. 109, 1662 København V"
"Saxogade 61, 1. 110, 1662 København V"
"Saxogade 61, 1. 111, 1662 København V"
"Saxogade 61, 1. 112, 1662 København V"
"Saxogade 61, 1. 113, 1662 København V"
"Saxogade 61, 1. 115, 1662 København V"
"Saxogade 61, 1. 117, 1662 København V"
"Saxogade 61, 1. 120, 1662 København V"
"Saxogade 61, 2. 201, 1662 København V"
"Saxogade 61, 2. 202, 1662 København V"
"Saxogade 61, 2. 203, 1662 København V"
"Saxogade 61, 2. 204, 1662 København V"
"Saxogade 61, 2. 205, 1662 København V"
"Saxogade 61, 2. 206, 1662 København V"
"Saxogade 61, 2. 207, 1662 København V"
"Saxogade 61, 2. 208, 1662 København V"
"Saxogade 61, 2. 209, 1662 København V"
"Saxogade 61, 2. 210, 1662 København V"
"Saxogade 61, 2. 211, 1662 København V"
"Saxogade 61, 2. 212, 1662 København V"
"Saxogade 61, 2. 213, 1662 København V"
"Saxogade 61, 2. 214, 1662 København V"
"Saxogade 61, 2. 215, 1662 København V"
"Saxogade 61, 2. 217, 1662 København V"
"Saxogade 61, 3. 301, 1662 København V"
"Saxogade 61, 3. 302, 1662 København V"
"Saxogade 61, 3. 303, 1662 København V"
"Saxogade 61, 3. 304, 1662 København V"
"Saxogade 61, 3. 305, 1662 København V"
"Saxogade 61, 3. 306, 1662 København V"
"Saxogade 61, 3. 307, 1662 København V"
"Saxogade 61, 3. 308, 1662 København V"
"Saxogade 61, 3. 309, 1662 København V"
"Saxogade 61, 3. 310, 1662 København V"
"Saxogade 61, 3. 311, 1662 København V"
"Saxogade 61, 3. 312, 1662 København V"
"Saxogade 61, 3. 313, 1662 København V"
"Saxogade 61, 3. 315, 1662 København V"
"Saxogade 61, 3. 317, 1662 København V"
"Saxogade 6, 4. 3, 1662 København V"
"Saxogade 102, 1662 København V"
"Saxogade 77, 1. th, 1662 København V"
"Saxogade 77, 2. tv, 1662 København V"
