"Sporup Kirkevej 84, 8472 Sporup"
"Silkeborgvej 180, Røgen, 8472 Sporup"
"Sporup Kirkevej 85, 8472 Sporup"
"Silkeborgvej 181A, Røgen, 8472 Sporup"
"Silkeborgvej 181B, Røgen, 8472 Sporup"
"Silkeborgvej 182, Røgen, 8472 Sporup"
"Sporuplundsvej 20, Røgen, 8472 Sporup"
"Silkeborgvej 184, Røgen, 8472 Sporup"
"Sporuplundsvej 30, Røgen, 8472 Sporup"
"Silkeborgvej 185, Røgen, 8472 Sporup"
"Sporuplundsvej 40, Røgen, 8472 Sporup"
"Silkeborgvej 187, Røgen, 8472 Sporup"
"Sporuplundsvej 70, 8472 Sporup"
"Silkeborgvej 188, Røgen, 8472 Sporup"
"Sporuplundsvej 75, 8472 Sporup"
"Viborgvej 201, Farre, 8472 Sporup"
"Silkeborgvej 189, Røgen, 8472 Sporup"
"Sporuplundsvej 105, 8472 Sporup"
"Silkeborgvej 190, Røgen, 8472 Sporup"
"Sporupvej 22, st., 8472 Sporup"
"Silkeborgvej 200, Røgen, 8472 Sporup"
"Sporupvej 22, 1., 8472 Sporup"
"Silkeborgvej 220, Røgen, 8472 Sporup"
"Silkeborgvej 232, Klintrup, 8472 Sporup"
"Silkeborgvej 255, Klintrup, 8472 Sporup"
"Silkeborgvej 295, Klintrup, 8472 Sporup"
"Klintrup Hedevej 16, 8472 Sporup"
"Klintrup Hedevej 20, 8472 Sporup"
"Klintrup Hedevej 22, 8472 Sporup"
"Høgholmvej 3, Farre, 8472 Sporup"
"Højagervej 1, Farre, 8472 Sporup"
"Klintrup Hedevej 25, 8472 Sporup"
"Højagervej 2, Farre, 8472 Sporup"
"Klintrup Hedevej 55, 8472 Sporup"
"Højagervej 3, Farre, 8472 Sporup"
"Klintrup Hedevej 80, 8472 Sporup"
"Højagervej 5, Farre, 8472 Sporup"
"Klintrup Hedevej 82, 8472 Sporup"
"Højagervej 6, Farre, 8472 Sporup"
"Lykkegårdsvej 342, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 344, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 345, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 346, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 347, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 348, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 349, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 9, 8472 Sporup"
"Farre Hedevej 10, 8472 Sporup"
"Lykkegårdsvej 350B, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 11, 8472 Sporup"
"Lykkegårdsvej 351, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 16, 8472 Sporup"
"Lykkegårdsvej 354, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 17, 8472 Sporup"
"Lykkegårdsvej 356, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 20, 8472 Sporup"
"Farre Hedevej 21, 8472 Sporup"
"Lykkegårdsvej 360, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 23, 8472 Sporup"
"Lykkegårdsvej 362A, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 25, 8472 Sporup"
"Lykkegårdsvej 362B, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 26, 8472 Sporup"
"Lykkegårdsvej 364, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 27, 8472 Sporup"
"Keldbjergvej 2, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 365, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 29, 8472 Sporup"
"Keldbjergvej 4, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 366, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 30, 8472 Sporup"
"Keldbjergvej 6, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 368, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 31, 8472 Sporup"
"Keldbjergvej 10, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 370, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 35, 8472 Sporup"
"Keldbjergvej 12, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 372, Toustrup Mark, 8472 Sporup"
"Skanderborgvej 183, Farre, 8472 Sporup"
"Keldbjergvej 14A, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 374, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 40, 8472 Sporup"
"Skanderborgvej 185, Farre, 8472 Sporup"
"Lykkegårdsvej 375, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 43, 8472 Sporup"
"Skanderborgvej 187, Farre, 8472 Sporup"
"Keldbjergvej 15, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 376, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 50, 8472 Sporup"
"Skanderborgvej 215, Farre, 8472 Sporup"
"Keldbjergvej 16, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 378, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 51, 8472 Sporup"
"Skanderborgvej 221, Farre, 8472 Sporup"
"Svingelvej 70, Farre, 8472 Sporup"
"Keldbjergvej 18, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 380, Toustrup Mark, 8472 Sporup"
"Farre Hedevej 54, 8472 Sporup"
"Skanderborgvej 225, Farre, 8472 Sporup"
"Svingelvej 75, Farre, 8472 Sporup"
"Keldbjergvej 20, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 382, Toustrup Mark, 8472 Sporup"
"Skanderborgvej 228, Farre, 8472 Sporup"
"Keldbjergvej 22, Toustrup St, 8472 Sporup"
"Lykkegårdsvej 384A, Toustrup Mark, 8472 Sporup"
"Højagervej 9, Farre, 8472 Sporup"
"Højagervej 8, Farre, 8472 Sporup"
"Højagervej 14, Farre, 8472 Sporup"
"Højagervej 15, Farre, 8472 Sporup"
"Højagervej 12, Farre, 8472 Sporup"
"Vandværksvej 3, 1., Farre, 8472 Sporup"
"Vandværksvej 3, st., Farre, 8472 Sporup"
"Gl Skanderborgvej 114, Farre, 8472 Sporup"
"Gl Skanderborgvej 122, Farre, 8472 Sporup"
"Begtrupvej 65A, Farre, 8472 Sporup"
"Toustrup Stationsvej 68B, Toustrup, 8472 Sporup"
"Haudalsvej 1, Farre, 8472 Sporup"
"Møgelbyvej 85A, 8472 Sporup"
"Gl Skanderborgvej 136A, Farre, 8472 Sporup"
"Toustrupvej 39, 1., Røgen, 8472 Sporup"
"Lykkegårdsvej 367, Toustrup Mark, 8472 Sporup"
"Silkeborgvej 298, Klintrup, 8472 Sporup"
"Gl Skanderborgvej 138A, Farre, 8472 Sporup"
"Toustrupvej 32, Røgen, 8472 Sporup"
"Gl Skanderborgvej 135, Farre, 8472 Sporup"
"Skanderborgvej 268, Farre, 8472 Sporup"
"Farrevej 190, 8472 Sporup"
"Silkeborgvej 300, Klintrup, 8472 Sporup"
"Skjoldsbjergvej 33, Toustrup Mark, 8472 Sporup"
"Farrevej 150, 8472 Sporup"
"Røgenvej 5, Røgen, 8472 Sporup"
"Toustrup Stationsvej 18, Toustrup, 8472 Sporup"
"Vestergårdsvej 77, Røgen, 8472 Sporup"
"Gl Skanderborgvej 116A, Farre, 8472 Sporup"
"Lyngbyvej 73, 8472 Sporup"
"Skanderborgvej 230, Farre, 8472 Sporup"
"Gl Skanderborgvej 90, Farre, 8472 Sporup"
"Lykkegårdsvej 297, Farre, 8472 Sporup"
"Toustrup Stationsvej 40, Toustrup, 8472 Sporup"
"Silkeborgvej 17, Farre, 8472 Sporup"
"Højagervej 4, Farre, 8472 Sporup"
"Toustrupvej 86, Røgen, 8472 Sporup"
"Farre Hedevej 52, 8472 Sporup"
"Røgen Hedevej 6, Røgen, 8472 Sporup"
"Toustrupvej 12A, Røgen, 8472 Sporup"
"Gl Silkeborgvej 16, Farre, 8472 Sporup"
"Gl Silkeborgvej 12, Farre, 8472 Sporup"
"Gl Skanderborgvej 144, Farre, 8472 Sporup"
"Lykkegårdsvej 295A, Farre, 8472 Sporup"
"Gl Skanderborgvej 62, Farre, 8472 Sporup"
"Keldbjergvej 8, Toustrup St, 8472 Sporup"
"Silkeborgvej 68, 8472 Sporup"
"Toustrup Stationsvej 58, Toustrup, 8472 Sporup"
"Gl Silkeborgvej 14, Farre, 8472 Sporup"
"Haudalsvej 3, Farre, 8472 Sporup"
"Toustrupvej 39, st., Røgen, 8472 Sporup"
"Gl Skanderborgvej 145B, Farre, 8472 Sporup"
"Lykkegårdsvej 386C, Toustrup Mark, 8472 Sporup"
"Skolemestervej 6, Farre, 8472 Sporup"
"Højagervej 13, Farre, 8472 Sporup"
"Vandværksvej 7, Farre, 8472 Sporup"
"Toustrupvej 26B, Røgen, 8472 Sporup"
"Silkeborgvej 297, Klintrup, 8472 Sporup"
"Højagervej 11, Farre, 8472 Sporup"
"Farrevej 170, 8472 Sporup"
"Gl Skanderborgvej 149A, Farre, 8472 Sporup"
"Damagervej 174, Farre, 8472 Sporup"
"Røgen Hedevej 3, Røgen, 8472 Sporup"
"Røgenvej 6, Røgen, 8472 Sporup"
"Vandværksvej 10A, Farre, 8472 Sporup"
"Sporup Kirkevej 79A, 8472 Sporup"
"Røgen Hedevej 8, Røgen, 8472 Sporup"
"Høgholmvej 5, Farre, 8472 Sporup"
"Toustrup Stationsvej 70, Toustrup, 8472 Sporup"
"Toustrupvej 24A, Røgen, 8472 Sporup"
"Toustrupvej 39, Røgen, 8472 Sporup"
"Lykkegårdsvej 352, Toustrup Mark, 8472 Sporup"
"Gl Silkeborgvej 3, Farre, 8472 Sporup"
"Toustrup Stationsvej 66, Toustrup, 8472 Sporup"
"Skjoldsbjergvej 29, Toustrup Mark, 8472 Sporup"
"Sporupvej 22, 8472 Sporup"
"Silkeborgvej 170, Røgen, 8472 Sporup"
"Silkeborgvej 168, Røgen, 8472 Sporup"
"Gl Skanderborgvej 113A, Farre, 8472 Sporup"
"Skytsbjergvej 14, Lyngby, 8472 Sporup"
"Klintrup Hedevej 24, 8472 Sporup"
"Farre Hedevej 48, 8472 Sporup"
"Røgenvej 55, Røgen, 8472 Sporup"
"Lykkegårdsvej 384B, Toustrup Mark, 8472 Sporup"
"Toustrupvej 14, Røgen, 8472 Sporup"
"Røgenvej 4, Røgen, 8472 Sporup"
"Gl Skanderborgvej 72, Farre, 8472 Sporup"
"Gl Skanderborgvej 103, Farre, 8472 Sporup"
"Gl Skanderborgvej 128, Farre, 8472 Sporup"
"Lykkegårdsvej 350A, Toustrup Mark, 8472 Sporup"
"Lykkegårdsvej 358, Toustrup Mark, 8472 Sporup"
"Røgen Hedevej 50, Røgen, 8472 Sporup"
"Toustrupvej 31, Røgen, 8472 Sporup"
"Gl Skanderborgvej 105, Farre, 8472 Sporup"
"Farre Hedevej 59, 8472 Sporup"
"Klintrup Hedevej 100, 8472 Sporup"
"Toustrup Stationsvej 26, Toustrup St, 8472 Sporup"
"Toustrup Stationsvej 26, Toustrup St, 8472 Sporup"
"Silkeborgvej 149, Røgen, 8472 Sporup"
"Lyngbyvej 11, 8472 Sporup"
"Silkeborgvej 84, 8472 Sporup"
"Skørringvej 75, Farre, 8472 Sporup"
