"Vestergade 54, V Hæsinge, 5672 Broby"
"Østergade 101, Allested, 5672 Broby"
"Brandholmvej 9, Ståby, 5672 Broby"
"Ellevænget 11, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 4, Gl Stenderup, 5672 Broby"
"Kasbækvej 8, Nr Broby, 5672 Broby"
"Maevej 4, Ølsted, 5672 Broby"
"Nørregade 11, Sh Lyndelse, 5672 Broby"
"Rosenvænget 37, Nr Broby, 5672 Broby"
"Stationsvej 7, Nr Broby, 5672 Broby"
"Søndergade 12, Sh Lyndelse, 5672 Broby"
"Vestergade 56, V Hæsinge, 5672 Broby"
"Østergade 102, Allested, 5672 Broby"
"Allerupvej 18, Allerup, 5672 Broby"
"Ellevænget 12, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 5, Gl Stenderup, 5672 Broby"
"Kasbækvej 10, Nr Broby, 5672 Broby"
"Marsk Billesvej 2A, Sdr Broby, 5672 Broby"
"Nørregade 13, Sh Lyndelse, 5672 Broby"
"Rosenvænget 39, Nr Broby, 5672 Broby"
"Stationsvej 8, Nr Broby, 5672 Broby"
"Søndergade 14, Sh Lyndelse, 5672 Broby"
"Vesterågade 2, Nr Broby, 5672 Broby"
"Allerupvej 19, Allerup, 5672 Broby"
"Brandholmvej 11, Ståby, 5672 Broby"
"Ellevænget 13, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 6, Gl Stenderup, 5672 Broby"
"Kasbækvej 12, Nr Broby, 5672 Broby"
"Marsk Billesvej 2B, Sdr Broby, 5672 Broby"
"Nørregade 14, Sh Lyndelse, 5672 Broby"
"Rosenvænget 41, Nr Broby, 5672 Broby"
"Stationsvej 9, Nr Broby, 5672 Broby"
"Søndergade 15, Sh Lyndelse, 5672 Broby"
"Vesterågade 4, Nr Broby, 5672 Broby"
"Østergade 105, Allested, 5672 Broby"
"Allerupvej 20, Allerup, 5672 Broby"
"Brandholmvej 12, Ståby, 5672 Broby"
"Ellevænget 14, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 7, Gl Stenderup, 5672 Broby"
"Kasbækvej 14, Nr Broby, 5672 Broby"
"Marsk Billesvej 2C, Sdr Broby, 5672 Broby"
"Nørregade 15, Sh Lyndelse, 5672 Broby"
"Rosenvænget 43, Nr Broby, 5672 Broby"
"Stationsvej 10, Nr Broby, 5672 Broby"
