"Platanvej 24, 7. 4, 1810 Frederiksberg C"
"Platanvej 9, st. mf, 1810 Frederiksberg C"
"Platanvej 24, 7. 5, 1810 Frederiksberg C"
"Platanvej 9, st. th, 1810 Frederiksberg C"
"Platanvej 24, 8. 1, 1810 Frederiksberg C"
"Platanvej 9, st. tv, 1810 Frederiksberg C"
"Platanvej 24, 8. 2, 1810 Frederiksberg C"
"Platanvej 9, 1. mf, 1810 Frederiksberg C"
"Platanvej 24, 8. 3, 1810 Frederiksberg C"
"Platanvej 9, 1. th, 1810 Frederiksberg C"
"Platanvej 24, 8. 4, 1810 Frederiksberg C"
"Platanvej 9, 1. tv, 1810 Frederiksberg C"
"Platanvej 24, 8. 5, 1810 Frederiksberg C"
"Platanvej 9, 2. mf, 1810 Frederiksberg C"
"Platanvej 24, 9. 1, 1810 Frederiksberg C"
"Platanvej 9, 2. th, 1810 Frederiksberg C"
"Platanvej 24, 9. 2, 1810 Frederiksberg C"
"Platanvej 9, 2. tv, 1810 Frederiksberg C"
"Platanvej 24, 9. 3, 1810 Frederiksberg C"
"Platanvej 9, 3. mf, 1810 Frederiksberg C"
"Platanvej 24, 9. 4, 1810 Frederiksberg C"
"Platanvej 9, 3. th, 1810 Frederiksberg C"
"Platanvej 24, 9. 5, 1810 Frederiksberg C"
"Platanvej 9, 3. tv, 1810 Frederiksberg C"
"Platanvej 24, 10. 1, 1810 Frederiksberg C"
"Platanvej 11, st. mf, 1810 Frederiksberg C"
"Platanvej 24, 10. 2, 1810 Frederiksberg C"
"Platanvej 11, st. th, 1810 Frederiksberg C"
"Platanvej 24, 10. 3, 1810 Frederiksberg C"
"Platanvej 11, st. tv, 1810 Frederiksberg C"
"Platanvej 24, 10. 4, 1810 Frederiksberg C"
"Platanvej 11, 1. mf, 1810 Frederiksberg C"
"Platanvej 24, 10. 5, 1810 Frederiksberg C"
"Platanvej 11, 1. th, 1810 Frederiksberg C"
"Platanvej 24, 11. 1, 1810 Frederiksberg C"
"Platanvej 11, 1. tv, 1810 Frederiksberg C"
"Platanvej 24, 11. 2, 1810 Frederiksberg C"
"Platanvej 11, 2. mf, 1810 Frederiksberg C"
"Platanvej 24, 11. 3, 1810 Frederiksberg C"
"Platanvej 11, 2. th, 1810 Frederiksberg C"
"Platanvej 24, 11. 4, 1810 Frederiksberg C"
"Platanvej 11, 2. tv, 1810 Frederiksberg C"
"Platanvej 24, 11. 5, 1810 Frederiksberg C"
"Platanvej 11, 3. mf, 1810 Frederiksberg C"
"Platanvej 24, 12. 1, 1810 Frederiksberg C"
"Platanvej 11, 3. th, 1810 Frederiksberg C"
